"","Species Name","District Number","Gear Name","total"
"1","Chinook Salmon",101,"Drift gillnet",4146
"2","Chinook Salmon",101,"Fish ladder/race way",0
"3","Chinook Salmon",101,"Hand troll",495
"4","Chinook Salmon",101,"Power gurdy troll",2528
"5","Chinook Salmon",101,"Purse seine",5189
"6","Chinook Salmon",102,"Hand troll",117
"7","Chinook Salmon",102,"Power gurdy troll",1778
"8","Chinook Salmon",102,"Purse seine",0
"9","Chinook Salmon",103,"Drift gillnet",0
"10","Chinook Salmon",103,"Hand troll",274
"11","Chinook Salmon",103,"Power gurdy troll",12637
"12","Chinook Salmon",103,"Purse seine",51
"13","Chinook Salmon",104,"Hand troll",54
"14","Chinook Salmon",104,"Power gurdy troll",13588
"15","Chinook Salmon",104,"Purse seine",5820
"16","Chinook Salmon",105,"Hand troll",41
"17","Chinook Salmon",105,"Power gurdy troll",3004
"18","Chinook Salmon",106,"Drift gillnet",928
"19","Chinook Salmon",106,"Hand troll",274
"20","Chinook Salmon",106,"Power gurdy troll",339
"21","Chum Salmon",101,"Drift gillnet",55558
"22","Chum Salmon",101,"Fish ladder/race way",0
"23","Chum Salmon",101,"Hand troll",82
"24","Chum Salmon",101,"Power gurdy troll",2573
"25","Chum Salmon",101,"Purse seine",203880
"26","Chum Salmon",102,"Hand troll",0
"27","Chum Salmon",102,"Power gurdy troll",142
"28","Chum Salmon",102,"Purse seine",446774
"29","Chum Salmon",103,"Hand troll",0
"30","Chum Salmon",103,"Power gurdy troll",1574
"31","Chum Salmon",103,"Purse seine",154004
"32","Chum Salmon",104,"Hand troll",0
"33","Chum Salmon",104,"Power gurdy troll",500
"34","Chum Salmon",104,"Purse seine",212034
"35","Chum Salmon",105,"Hand troll",0
"36","Chum Salmon",105,"Power gurdy troll",167
"37","Chum Salmon",105,"Purse seine",0
"38","Chum Salmon",106,"Drift gillnet",136438
"39","Chum Salmon",106,"Fish ladder/race way",0
"40","Chum Salmon",106,"Hand troll",9
"41","Chum Salmon",106,"Power gurdy troll",58
"42","Chum Salmon",106,"Purse seine",21118
"43","Coho Salmon",101,"Drift gillnet",47102
"44","Coho Salmon",101,"Fish ladder/race way",0
"45","Coho Salmon",101,"Hand troll",4789
"46","Coho Salmon",101,"Power gurdy troll",21182
"47","Coho Salmon",101,"Purse seine",53641
"48","Coho Salmon",102,"Hand troll",3343
"49","Coho Salmon",102,"Power gurdy troll",10575
"50","Coho Salmon",102,"Purse seine",54549
"51","Coho Salmon",103,"Fish ladder/race way",0
"52","Coho Salmon",103,"Hand troll",4064
"53","Coho Salmon",103,"Power gurdy troll",69350
"54","Coho Salmon",103,"Purse seine",29223
"55","Coho Salmon",104,"Hand troll",46
"56","Coho Salmon",104,"Power gurdy troll",35874
"57","Coho Salmon",104,"Purse seine",96812
"58","Coho Salmon",105,"Hand troll",393
"59","Coho Salmon",105,"Power gurdy troll",22636
"60","Coho Salmon",105,"Purse seine",0
"61","Coho Salmon",106,"Drift gillnet",74102
"62","Coho Salmon",106,"Fish ladder/race way",0
"63","Coho Salmon",106,"Hand troll",815
"64","Coho Salmon",106,"Power gurdy troll",2522
"65","Coho Salmon",106,"Purse seine",10203
"66","Pink Salmon",101,"Drift gillnet",144332
"67","Pink Salmon",101,"Fish ladder/race way",0
"68","Pink Salmon",101,"Hand troll",1302
"69","Pink Salmon",101,"Power gurdy troll",5205
"70","Pink Salmon",101,"Purse seine",9854712
"71","Pink Salmon",102,"Hand troll",413
"72","Pink Salmon",102,"Power gurdy troll",0
"73","Pink Salmon",102,"Purse seine",7740745
"74","Pink Salmon",103,"Hand troll",0
"75","Pink Salmon",103,"Power gurdy troll",642
"76","Pink Salmon",103,"Purse seine",4129189
"77","Pink Salmon",104,"Power gurdy troll",227
"78","Pink Salmon",104,"Purse seine",10745837
"79","Pink Salmon",105,"Power gurdy troll",1222
"80","Pink Salmon",105,"Purse seine",0
"81","Pink Salmon",106,"Drift gillnet",153606
"82","Pink Salmon",106,"Fish ladder/race way",0
"83","Pink Salmon",106,"Hand troll",155
"84","Pink Salmon",106,"Power gurdy troll",2301
"85","Pink Salmon",106,"Purse seine",1224094
"86","Sockeye Salmon",101,"Drift gillnet",21189
"87","Sockeye Salmon",101,"Fish ladder/race way",0
"88","Sockeye Salmon",101,"Hand troll",0
"89","Sockeye Salmon",101,"Power gurdy troll",0
"90","Sockeye Salmon",101,"Purse seine",93967
"91","Sockeye Salmon",102,"Hand troll",0
"92","Sockeye Salmon",102,"Power gurdy troll",16
"93","Sockeye Salmon",102,"Purse seine",69238
"94","Sockeye Salmon",103,"Hand troll",0
"95","Sockeye Salmon",103,"Power gurdy troll",101
"96","Sockeye Salmon",103,"Purse seine",27885
"97","Sockeye Salmon",104,"Power gurdy troll",196
"98","Sockeye Salmon",104,"Purse seine",495303
"99","Sockeye Salmon",105,"Hand troll",0
"100","Sockeye Salmon",105,"Power gurdy troll",77
"101","Sockeye Salmon",105,"Purse seine",0
"102","Sockeye Salmon",106,"Drift gillnet",51338
"103","Sockeye Salmon",106,"Hand troll",0
"104","Sockeye Salmon",106,"Power gurdy troll",28
"105","Sockeye Salmon",106,"Purse seine",28530
