FISHERY,YEAR,SPECIES,HARVEST
Total Purse Seine,1980,CHINOOK,11701
Total Purse Seine,1980,JACKS,0
Total Purse Seine,1980,SOCKEYE,510956
Total Purse Seine,1980,COHO,184570
Total Purse Seine,1980,PINK,11869988
Total Purse Seine,1980,CHUM,1002478
Total Purse Seine,1980,TOTAL,13579693
Southern Purse Seine Total,1980,CHINOOK,11189
Southern Purse Seine Total,1980,JACKS,0
Southern Purse Seine Total,1980,SOCKEYE,483387
Southern Purse Seine Total,1980,COHO,172192
Southern Purse Seine Total,1980,PINK,10967917
Southern Purse Seine Total,1980,CHUM,586967
Southern Purse Seine Total,1980,TOTAL,12221652
Southern Purse Seine Traditional,1980,CHINOOK,11189
Southern Purse Seine Traditional,1980,JACKS,0
Southern Purse Seine Traditional,1980,SOCKEYE,483387
Southern Purse Seine Traditional,1980,COHO,172192
Southern Purse Seine Traditional,1980,PINK,10967917
Southern Purse Seine Traditional,1980,CHUM,586967
Southern Purse Seine Traditional,1980,TOTAL,12221652
Southern Purse Seine Hatchery Terminal,1980,CHINOOK,0
Southern Purse Seine Hatchery Terminal,1980,JACKS,0
Southern Purse Seine Hatchery Terminal,1980,SOCKEYE,0
Southern Purse Seine Hatchery Terminal,1980,COHO,0
Southern Purse Seine Hatchery Terminal,1980,PINK,0
Southern Purse Seine Hatchery Terminal,1980,CHUM,0
Southern Purse Seine Hatchery Terminal,1980,TOTAL,0
Northern Purse Seine Total,1980,CHINOOK,512
Northern Purse Seine Total,1980,JACKS,0
Northern Purse Seine Total,1980,SOCKEYE,27569
Northern Purse Seine Total,1980,COHO,12378
Northern Purse Seine Total,1980,PINK,902071
Northern Purse Seine Total,1980,CHUM,415511
Northern Purse Seine Total,1980,TOTAL,1358041
Northern Purse Seine Traditional,1980,CHINOOK,512
Northern Purse Seine Traditional,1980,JACKS,0
Northern Purse Seine Traditional,1980,SOCKEYE,27569
Northern Purse Seine Traditional,1980,COHO,12378
Northern Purse Seine Traditional,1980,PINK,902071
Northern Purse Seine Traditional,1980,CHUM,415511
Northern Purse Seine Traditional,1980,TOTAL,1358041
Northern Purse Seine Hatchery Terminal,1980,CHINOOK,0
Northern Purse Seine Hatchery Terminal,1980,JACKS,0
Northern Purse Seine Hatchery Terminal,1980,SOCKEYE,0
