year,stock,district,week,mean
2010,Alsek,101,25,NA
2010,Alsek,101,26,0
2010,Alsek,101,27,0.1
2010,Alsek,101,28,0
2010,Alsek,101,27_28,NA
2010,Alsek,101,29,0.3
2010,Alsek,101,28_29,NA
2010,Alsek,101,30,0.1
2010,Alsek,101,29_30,NA
2010,Alsek,101,31,0.5
2010,Alsek,101,32,0.7
2010,Alsek,101,33,0
2010,Alsek,101,34,1.7
2010,Alsek,101,35,0
2010,Alsek,101,34_35,NA
2010,Alsek,101,36,NA
2010,Alsek,101,36_37,NA
2010,NSE Alaska,101,25,NA
2010,NSE Alaska,101,26,0.1
2010,NSE Alaska,101,27,0.1
2010,NSE Alaska,101,28,0.3
2010,NSE Alaska,101,27_28,NA
2010,NSE Alaska,101,29,0.1
2010,NSE Alaska,101,28_29,NA
2010,NSE Alaska,101,30,0.4
2010,NSE Alaska,101,29_30,NA
2010,NSE Alaska,101,31,0.2
2010,NSE Alaska,101,32,0.1
2010,NSE Alaska,101,33,0.1
2010,NSE Alaska,101,34,0.2
2010,NSE Alaska,101,35,0.1
2010,NSE Alaska,101,34_35,NA
2010,NSE Alaska,101,36,NA
2010,NSE Alaska,101,36_37,NA
2010,Taku,101,25,NA
2010,Taku,101,26,1
2010,Taku,101,27,1.8
2010,Taku,101,28,0.4
2010,Taku,101,27_28,NA
2010,Taku,101,29,0.2
2010,Taku,101,28_29,NA
2010,Taku,101,30,0.1
2010,Taku,101,29_30,NA
2010,Taku,101,31,0.3
2010,Taku,101,32,0.1
2010,Taku,101,33,0.4
2010,Taku,101,34,0.1
2010,Taku,101,35,0.2
2010,Taku,101,34_35,NA
2010,Taku,101,36,NA
2010,Taku,101,36_37,NA
2010,Stikine,101,25,NA
2010,Stikine,101,26,5.7
2010,Stikine,101,27,3.9
2010,Stikine,101,28,10.8
2010,Stikine,101,27_28,NA
2010,Stikine,101,29,1.5
2010,Stikine,101,28_29,NA
2010,Stikine,101,30,0.5
2010,Stikine,101,29_30,NA
2010,Stikine,101,31,0.6
2010,Stikine,101,32,0.1
2010,Stikine,101,33,0.3
2010,Stikine,101,34,0.1
2010,Stikine,101,35,0.3
2010,Stikine,101,34_35,NA
2010,Stikine,101,36,NA
2010,Stikine,101,36_37,NA
2010,SSE Alaska,101,25,NA
2010,SSE Alaska,101,26,15.4
2010,SSE Alaska,101,27,7.7
2010,SSE Alaska,101,28,6.2
2010,SSE Alaska,101,27_28,NA
2010,SSE Alaska,101,29,8.9
2010,SSE Alaska,101,28_29,NA
2010,SSE Alaska,101,30,19.5
2010,SSE Alaska,101,29_30,NA
2010,SSE Alaska,101,31,13.8
2010,SSE Alaska,101,32,7.4
2010,SSE Alaska,101,33,4.2
2010,SSE Alaska,101,34,20.3
2010,SSE Alaska,101,35,16.8
2010,SSE Alaska,101,34_35,NA
2010,SSE Alaska,101,36,NA
2010,SSE Alaska,101,36_37,NA
2010,McDonald,101,25,NA
2010,McDonald,101,26,8.7
2010,McDonald,101,27,1.8
2010,McDonald,101,28,7.4
2010,McDonald,101,27_28,NA
2010,McDonald,101,29,19.4
2010,McDonald,101,28_29,NA
2010,McDonald,101,30,26.3
2010,McDonald,101,29_30,NA
2010,McDonald,101,31,31.2
2010,McDonald,101,32,20.9
2010,McDonald,101,33,8.5
2010,McDonald,101,34,18
2010,McDonald,101,35,11.4
2010,McDonald,101,34_35,NA
2010,McDonald,101,36,NA
2010,McDonald,101,36_37,NA
2010,Hugh Smith,101,25,NA
2010,Hugh Smith,101,26,20.9
2010,Hugh Smith,101,27,7.8
2010,Hugh Smith,101,28,20
2010,Hugh Smith,101,27_28,NA
2010,Hugh Smith,101,29,32.7
2010,Hugh Smith,101,28_29,NA
2010,Hugh Smith,101,30,13.3
2010,Hugh Smith,101,29_30,NA
