Year,Area,District Number,Gear Code,Gear Name,Harvest Code,Harvest Name,Species Name,Number Of Fish (estimated),Landed Weight (lbs),Whole Weight (lbs),Permit Count,Processor Count,Vessel Count
1985,Southeast/Yakutat,101,1,Purse seine,11,State managed fishery,Chinook Salmon,1063,14354,14354,103,13,102
1985,Southeast/Yakutat,101,1,Purse seine,12,Hatchery Terminal Area Fishery,Chinook Salmon,Confidential,Confidential,Confidential,< 3,< 3,< 3
1985,Southeast/Yakutat,101,1,Purse seine,17,Annette Island (non-state authorized),Chinook Salmon,Confidential,Confidential,Confidential,8,< 3,7
1985,Southeast/Yakutat,101,1,Purse seine,21 & 22,Cost Recovery Private Hatchery Fishing/Carcass Sale,Chinook Salmon,Confidential,Confidential,Confidential,< 3,< 3,< 3
1985,Southeast/Yakutat,101,3,Drift gillnet,11,State managed fishery,Chinook Salmon,2787,30314,30314,142,14,144
1985,Southeast/Yakutat,101,3,Drift gillnet,17,Annette Island (non-state authorized),Chinook Salmon,Confidential,Confidential,Confidential,35,< 3,18
1985,Southeast/Yakutat,101,5,Hand troll,11,State managed fishery,Chinook Salmon,621,8171,8171,58,11,64
1985,Southeast/Yakutat,101,5,Hand troll,13,Spring Troll Fishery,Chinook Salmon,Confidential,Confidential,Confidential,7,< 3,7
1985,Southeast/Yakutat,101,5,Hand troll,17,Annette Island (non-state authorized),Chinook Salmon,Confidential,Confidential,Confidential,4,< 3,< 3
1985,Southeast/Yakutat,101,5,Hand troll,31,Commercial Sale/Sportsfish Derby,Chinook Salmon,Confidential,Confidential,Confidential,< 3,< 3,< 3
1985,Southeast/Yakutat,101,15,Power gurdy troll,11,State managed fishery,Chinook Salmon,3572,44607,44607,90,11,91
1985,Southeast/Yakutat,101,15,Power gurdy troll,13,Spring Troll Fishery,Chinook Salmon,196,3105,3105,6,3,6
1985,Southeast/Yakutat,101,90,Trap,17,Annette Island (non-state authorized),Chinook Salmon,Confidential,Confidential,Confidential,< 3,< 3,< 3
1985,Southeast/Yakutat,101,99,Other/unspecified/missing,41 & 42,Test Fishing,Chinook Salmon,Confidential,Confidential,Confidential,< 3,< 3,< 3
1985,Southeast/Yakutat,102,1,Purse seine,11,State managed fishery,Chinook Salmon,622,9132,9132,50,9,50
1985,Southeast/Yakutat,102,5,Hand troll,11,State managed fishery,Chinook Salmon,1144,14436,14436,59,6,60
1985,Southeast/Yakutat,102,15,Power gurdy troll,11,State managed fishery,Chinook Salmon,5025,63695,63695,77,10,77
1985,Southeast/Yakutat,103,1,Purse seine,11,State managed fishery,Chinook Salmon,Confidential,Confidential,Confidential,< 3,< 3,< 3
1985,Southeast/Yakutat,103,5,Hand troll,11,State managed fishery,Chinook Salmon,1369,19766,19766,71,9,71
1985,Southeast/Yakutat,103,15,Power gurdy troll,11,State managed fishery,Chinook Salmon,2580,38867,38867,107,9,109
