year,Chinook,Sockeye,Coho,Pink,Chum
1960,46,10354,336,1246,502
1961,416,20614,14934,124236,64479
1962,1308,47033,42276,256620,59119
1963,1560,80767,52103,514596,90103
1964,2082,76541,64654,443086,44218
1965,1802,87749,75728,625848,27658
1966,1665,89847,62823,400932,40756
1967,1318,86385,17670,91609,26370
1968,1316,64671,67151,169107,61366
1969,877,70484,10305,198785,10930
1970,782,42809,35188,95173,32245
1971,1336,53262,48085,528737,37682
1972,2548,101958,92283,89510,72389
1973,1961,72025,38447,304536,87704
1974,1929,57498,45595,104596,50402
1975,2587,32099,30962,203031,24047
1976,386,15493,19126,139641,6868
1977,671,67394,8389,422955,13311
1978,2682,41574,55578,224715,16545
1979,2720,66373,31454,648212,35507
1980,580,107422,16666,45662,26291
1981,1565,182001,22614,437573,34296
1982,1648,193801,31584,25533,18646
1983,567,48842,62442,208290,20144
1984,892,91653,41359,343255,70303
1985,1687,264987,91188,584953,69673
1986,1704,145709,194912,308484,82289
1987,836,136427,34534,243482,42025
1988,1104,92529,13103,69559,69620
1989,1544,192734,92385,1101194,67351
1990,2108,185805,164235,319186,73232
1991,2055,144104,198160,133566,124630
1992,1355,203155,298935,94248,140468
1993,992,205955,231038,537960,134601
1994,754,211048,267862,179994,176026
1995,951,207298,170561,448163,300078
1996,644,311100,223640,188035,283290
1997,1075,168518,77550,789051,186456
1998,518,113435,273197,502655,332022
1999,518,104835,203301,491179,448409
2000,1220,90076,96207,156619,199836
2001,1138,164013,188465,825447,283462
2002,446,56135,226560,82951,112541
2003,422,116904,212057,470697,300253
2004,2735,116259,138631,245237,110574
2005,1572,110192,114440,461187,198564
2006,1948,91980,69015,149907,268436
2007,2144,92481,80573,383355,297998
2008,1619,30533,116074,90217,102156
2009,2138,111984,144569,143589,287707
2010,2473,112450,225550,309795,97948
2011,3008,146069,117860,337169,158096
2012,1853,45466,121418,129646,104307
2013,2202,49223,160659,474551,94260
2014,2092,58430,286815,415392,106243
2015,2723,121921,112561,224816,232390
2016,2094,106649,122101,358309,130236
2017,1521,45005,49382,302033,234349
2018,3247,25203,112000,348277,176392
2019,1073,23844,59304,424495,113161
2020,"1,182",11314,43850,127583,143577
2021,965,51776,74756,156483,136560
2022,800,45437,50901,86448,173048
2023,741,42334,42336,126048,179169
