Year,US.Commercial,US.Test,US.Subsistence,US.total,Klukshu.counts,CDN.run,CDN.run.low,CDN.run.high,CDN.FN,CDN.Sport,CDN.total,CDN.HR,US.HR
1960,,,,,,,,,,,,,
1961,2120,,,2120,,,,,,,,,
1962,,,,,,,,,,,,,
1963,131,,,131,,,,,,,,,
1964,591,,,591,,,,,,,,,
1965,719,,,719,,,,,,,,,
1966,934,,,934,,,,,,,,,
1967,225,,,225,,,,,,,,,
1968,215,,,215,,,,,,,,,
1969,685,,,685,,,,,,,,,
1970,1128,,,1128,,,,,,,,,
1971,1222,,,1222,,,,,,,,,
1972,1827,,,1827,,,,,,,,,
1973,1757,,,1757,,,,,,,,,
1974,1162,,,1162,,,,,,,,,
1975,1379,,,1379,,,,,,,,,
1976,512,,13,525,1278,,,,150,200,350,,
1977,1402,,18,1420,3144,,,,350,300,650,,
1978,2441,,,2441,2976,,,,350,300,650,,
1979,2525,,80,2605,4404,,,,1300,650,1950,,
1980,1382,,57,1439,2637,,,,150,200,350,,
1981,779,,32,811,2113,,,,150,315,465,,
1982,532,,87,619,2369,,,,400,224,624,,
1983,94,,31,125,2537,,,,300,312,612,,
1984,60,,,60,1672,,,,100,475,575,,
1985,213,,16,229,1458,,,,175,250,425,,
1986,481,,22,503,2709,,,,102,165,267,,
1987,347,,27,374,2616,,,,125,367,492,,
1988,223,,13,236,2037,,,,43,249,292,,
1989,228,,20,248,2456,,,,234,272,506,,
1990,78,,85,163,1915,,,,202,555,757,,
1991,103,,38,141,2489,,,,509,388,897,,
1992,301,,15,316,1367,,,,148,103,251,,
1993,300,,38,338,3302,,,,152,171,323,,
1994,805,,60,865,3727,,,,289,197,486,,
1995,670,,51,721,5678,,,,580,1044,1624,,
1996,772,,60,832,3599,,,,448,650,1098,,
1997,568,,38,606,2989,,,,232,298,530,,
1998,550,,63,613,1364,7179,3027,9765,171,175,346,0.048196128,0.078670431
1999,482,,44,526,2193,15027,8243,22035,238,174,412,0.027417315,0.033819842
2000,677,,73,750,1365,8047,6805,14308,65,77,142,0.017646328,0.085256337
2001,541,,19,560,1825,6982,9146,14303,120,157,277,0.039673446,0.074250862
2002,700,,60,760,2240,5886,8345,10790,120,197,317,0.053856609,0.114354499
2003,937,,24,961,1737,6132,4302,6310,90,138,228,0.037181996,0.13548569
2004,656,,51,707,2525,7268,,,139,46,185,0.025454045,0.088652038
2005,286,423,31,740,1070,,,,58,56,114,,
2006,530,135,47,712,568,,,,2,17,19,,
2007,400,347,79,826,677,,,,1,40,41,,
2008,128,465,34,627,466,,,,0,7,7,,
2009,602,421,57,1080,1571,,,,105,20,125,,
2010,273,,70,343,2358,,,,197,97,294,,
2011,546,,44,590,1671,,,,119,95,214,,
2012,510,251,63,824,693,,,,0,85,85,,
2013,469,,20,489,1261,,,,67,5,72,,
2014,1074,,40,1114,541,,,,17,26,43,,
2015,243,,23,266,1432,,,,87,44,131,,
2016,132,,11,143,651,,,,10,80,90,,
2017,127,,7,134,448,,,,10,41,51,,
2018,88,,28,116,1087,,,,0,0,0,,
2019,79,,20,99,1589,,,,32,5,37,,
2020,182,,21,203,1327,,,,22,0,22,,
2021,340,,10,350,1401,,,,42,0,42,,
2022,112,,12,124,941,3365,2658,4072,14,0,14,0.004160475,
2023,167,,7,174,1064,,,,22,0,22,,
