year,25,26,27,28,29,30,31,32,33,34
1983,,0.996,0.842,0.819,0.663,0.527,0.836,0.534,0.719,0.759
1984,0.97,0.956,0.843,0.67,0.588,0.712,0.728,0.809,0.726,
1985,0.999,0.986,0.928,0.974,0.868,0.706,0.737,0.826,0.801,
1986,0.938,0.963,0.8763,0.88,0.852,0.777,0.851,0.757,0.893,0.739
1987,,0.982,0.901,0.884,0.948,0.414,0.619,0.689,0.841,0.731
1988,,0.964,0.886,0.889,0.51,0.643,0.677,0.528,0.478,0.346
1989,0.943,0.989,0.979,0.852,0.835,0.641,0.681,0.919,0.676,
1990,0.874,0.935,0.904,0.773,0.782,0.863,0.943,0.939,0.878,0.862
1991,0.988,0.979,0.953,0.979,0.951,0.933,0.936,0.89,0.885,0.875
1992,,0.978,0.985,0.956,0.916,0.943,0.893,0.858,0.766,0.766
1993,,0.961,0.901,0.837,0.856,0.781,0.79,0.829,0.738,0.706
1994,,1,0.981,0.973,0.967,0.87,0.835,0.938,0.804,0.901
1995,0.942,0.889,0.903,0.858,0.872,0.868,0.761,0.759,0.705,0.74
1996,1,0.998,0.909,0.974,0.95,0.991,0.914,0.945,0.879,0.804
1997,0.992,0.97,0.91,0.926,0.951,0.939,0.939,0.925,0.872,0.906
1998,,0.964,0.974,0.978,0.971,0.949,0.948,0.942,0.997,0.857
1999,,0.966,0.988,0.953,0.934,0.917,0.878,0.833,0.732,0.665
2000,,0.973,0.962,0.958,0.929,0.898,0.872,0.907,0.908,0.858
2001,0.995,0.998,0.948,0.888,0.908,0.93,0.961,0.945,0.858,0.858
2002,0.986,0.989,0.993,0.97,0.872,0.946,0.829,0.88,0.851,0.851
2003,1,0.987,0.961,0.994,0.97,0.929,0.883,0.795,0.236,0.236
2004,,0.968,0.95,0.93,0.939,0.884,0.731,0.799,0.909,0.891
2005,0.973,0.973,0.953,0.947,0.932,0.924,0.881,0.885,0.786,0.767
2006,0.957,0.957,0.912,0.856,0.896,0.819,0.802,0.842,0.97,0.97
2007,1,0.992,0.934,0.807,0.716,0.821,0.879,0.824,0.812,0.786
2008,0.975,0.9,0.695,0.632,0.589,0.47,0.424,0.488,0.489,0.489
2009,0.902,0.902,0.715,0.683,0.552,0.542,0.528,0.416,0.382,0.382
2010,,0.964,0.955,0.96,0.737,0.637,0.754,0.636,0.529,0.764
2011,,0.988,0.943,0.797,0.766,0.699,0.683,0.606,0.365,0.228
2012,0.938,0.72,0.909,0.828,0.632,0.321,0.389,0.085,0.298,0.298
2013,0.96,0.927,0.865,0.794,0.467,0.477,0.457,0.457,0.457,0.457
2014,0.756,0.825,0.695,0.355,0.568,0.445,0.206,0.199,0.107,0.014
2015,0,0.91,0.969,0.927,0.83,0.815,0.823,0.732,0.693,0.693
2016,0,0.889,0.894,0.877,0.681,0.599,0.436,0.525,0.335,0.319
2017,0.914,0.93,0.656,0.64,0.709,0.608,0.591,0.512,0.45,0.51
2018,0.962,0.936,0.731,0.492,0.31,0.412,0.451,0.228,0.228,0.252
2019,0.574,0.829,0.888,0.797,0.714,0.644,0.805,0.651,0.573,0.302
2020,0,0.951,0.981,0.927,0.326,0.319,0.18,0.048,0.056,0.035
2021,0,0.994,0.993,0.952,0.719,0.7,0.765,0.676,0.524,0.756
2022,0,0.943,0.917,0.773,0.73,0.766,0.575,0.598,0.787,0.601
2023,0.968,0.873,0.933,0.678,0.674,0.387,0.623,0.461,0.415,0.561
