year,Chinook,Sockeye,Coho,Pink,Chum,,,,,,,,,,
1960,8810,42819,22374,33155,41852,,,,,,,,,,
1961,7434,45981,15486,41455,24433,,,,,,,,,,
1962,5931,36745,15661,17280,20635,,,,,,,,,,
1963,2652,24119,10855,21692,20114,,,,,,,,,,
1964,2509,34140,29315,26593,12853,,,,,,,,,,
1965,4170,27569,32667,2768,11533,,,,,,,,,,
1966,4829,33925,26065,23833,35133,,,,,,,,,,
1967,5417,17735,40391,12372,22834,,,,,,,,,,
1968,4904,19501,39103,67365,21890,,,,,,,,,,
1969,6986,41222,10802,74178,15046,,,,,,,,,,
1970,3357,50862,44569,196237,110621,,,,,,,,,,
1971,6945,66261,41588,31296,90964,,,,,,,,,,
1972,10949,80911,49609,144237,148432,,,,,,,,,,
1973,9799,85402,35453,58186,109245,,,,,,,,,,
1974,2908,38726,38667,57820,86692,,,,,,,,,,
1975,2182,32550,1185,9567,2678,,,,,,,,,,
1976,1757,62174,41664,14977,81972,,,,,,,,,,
1977,1068,72030,54929,88904,60964,,,,,,,,,,
1978,1926,55398,31944,51385,36254,,,,,,,,,,
1979,3701,122148,16194,152836,61194,,,,,,,,,,
1980,2251,123451,41677,296622,192793,,,,,,,,,,
1981,1721,49942,26711,254856,76438,,,,,,,,,,
1982,3014,83722,29073,109270,37584,,,,,,,,,,
1983,888,31821,21455,66239,15264,,,,,,,,,,
1984,1773,77233,33836,145971,86764,,,,,,,,,,
1985,2632,88093,55518,311305,106900,,,,,,,,,,
1986,2584,73061,30512,16568,58792,,,,,,,,,,
1987,2076,75212,35219,363439,121660,,,,,,,,,,
1988,1777,38901,44818,157732,140038,,,,,,,,,,
1989,1811,74019,51812,180639,36979,,,,,,,,,,
1990,3480,126884,67530,153126,145799,,,,,,,,,,
1991,3214,109471,126576,74170,160422,,,,,,,,,,
1992,2341,135411,172662,314445,112527,,,,,,,,,,
1993,7159,171427,65539,29216,167902,,,,,,,,,,
1994,5047,105893,188501,401525,214171,,,,,,,,,,
1995,4660,103362,83606,41228,349949,,,,,,,,,,
1996,2659,199014,33633,12660,354463,,,,,,,,,,
1997,2804,94745,3515,51424,176864,,,,,,,,,,
1998,794,69677,28713,168283,296111,,,,,,,,,,
1999,1949,79686,17608,59316,429359,,,,,,,,,,
2000,1154,185956,7828,58696,669994,,,,,,,,,,
2001,1698,293043,22646,123026,237122,,,,,,,,,,
2002,1850,204103,40464,78624,231936,,,,,,,,,,
2003,1467,238160,24338,114166,170874,,,,,,,,,,
2004,2345,283756,45769,154640,131757,,,,,,,,,,
2005,23301,106048,21289,182778,93700,,,,,,,,,,
2006,11261,262527,60145,191992,382952,,,,,,,,,,
2007,1452,112241,22394,100375,590169,,,,,,,,,,
2008,2193,116693,37349,90162,774095,,,,,,,,,,
2009,6800,62070,36615,56801,918350,,,,,,,,,,
2010,1685,76607,62241,132785,488898,,,,,,,,,,
2011,2510,163896,28574,344766,667929,,,,,,,,,,
2012,1291,140898,24115,193969,566741,,,,,,,,,,
2013,1224,207231,51441,127343,726849,,,,,,,,,,
2014,1471,126738,54186,29190,291409,,,,,,,,,,
2015,1150,83431,23572,296575,475456,,,,,,,,,,
2016,595,215049,35037,46604,448284,,,,,,,,,,
2017,1086,113818,16002,230243,885694,,,,,,,,,,
2018,739,68122,35608,23183,517104,,,,,,,,,,
2019,1201,95421,23235,69137,245962,,,,,,,,,,
2020,1094,28233,15863,65353,109516,,,,,,,,,,
2021,666,45897,20643,136855,185684,,,,,,,,,,
2022,998,112970,15493,53294,313616,,,,,,,,,,
2023,694,79749,20518,129555,622555,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
