year,escapement,ci_lower,ci_upper,cdn_harvest,run_estimate_aboveborder,us_harvest,terminal_run
1989,40329,29263,51395,1232,41561,,
1990,52142,33863,70421,1606,53748,,
1991,51645,17072,86218,1477,53122,,
1992,55889,18475,93303,1866,57755,,
1993,66125,21858,110392,1944,68069,,
1994,48368,15989,80747,2484,50852,,
1995,33805,23887,43723,1752,35557,6263,41820
1996,79019,61285,96753,3499,82518,6280,88798
1997,114938,79878,149998,2939,117877,8325,126202
1998,31039,10255,51823,1272,32311,2605,34916
1999,16786,10571,23001,1640,18426,4019,22445
2000,34997,24407,45587,3043,38040,3472,41512
2001,46644,33383,59905,2863,49507,3883,53390
2002,55044,33313,76775,3014,58058,3282,61340
2003,36435,23293,49577,3679,40114,2768,42882
2004,75032,54883,95181,3953,78985,3696,82681
2005,38599,28980,48219,7716,46315,19019,65334
2006,42191,31343,53040,8334,50525,11334,61859
2007,14749,8326,21172,2542,17291,1359,18650
2008,26645,20744,32545,2418,29063,1123,30186
2009,22761,17134,28388,7036,29797,5309,35106
2010,28769,23840,33698,5469,34238,1546,35784
2011,19672,12938,26406,3277,22949,1139,24088
2012,16713,10992,22434,2965,19678,1405,21083
2013,18002,4500,31504,738,18740,648,19388
2014,23532,19187,27877,2472,26004,1320,27324
2015,23567,20512,26622,2447,26014,784,26798
2016,9177,8114,10240,1630,10807,824,11631
2017,8214,6679,9749,250,8464,179,8643
2018,7271,5745,8798,7,7278,50,7328
2019,11558,8802,14314,10,11568,229,11797
2020,15593,9617,21569,94,15687,323,16010
2021,11341,2834,19848,40,11381,333,11718
2022,12722,6726,18718,33,12755,207,12962
2023,14755,10975,18535,25,14780,267,15047
