year,escapement,harv.cdn,above.border,harv.us,term.run
1996,28787,2931,31718,,
1997,26808,4701,31509,,
1998,25779,2354,28133,,
1999,19781,32935,52716,,
2000,26056,4245,30301,,
2001,63129,3517,66646,,
2002,50455,3438,53893,3587,57480
2003,47015,2866,49881,3895,53776
2004,48490,4048,52538,9599,62137
2005,39836,20049,59885,27882,87767
2006,24405,15776,40181,22060,62241
2007,14559,10510,25069,10885,35954
2008,18352,7932,26284,7335,33619
2009,12972,2146,15118,1350,16468
2010,15148,3164,18312,1303,19615
2011,14511,3141,17652,2142,19794
2012,22332,5210,27542,2353,29895
2013,16784,3370,20154,1566,21720
2014,24374,3327,27701,1622,29323
2015,21597,4258,25855,1500,27355
2016,10554,3235,13789,1707,15496
2017,7335,603,7938,207,8145
2018,8603,165,8768,39,8807
2019,13817,333,14150,133,14283
2020,9753,389,10142,161,10303
2021,8376,182,8558,123,8681
2022,9090,269,9359,62,9421
2023,12795,69,12864,73,12937
