year,above_border_run,cdn_harvest,escapement,us_harvest,terminal_run
1979,40353,13534,26819,8299,48652
1980,62743,20919,41824,23206,85949
1981,138879,27017,111862,27538,166417
1982,68761,20540,48221,42482,111243
1983,71683,21120,50563,5774,77457
1984,76211,5327,70884,7750,83961
1985,184747,26804,157943,29747,214494
1986,69036,17846,51190,6420,75456
1987,39264,11283,27981,4077,43342
1988,41915,16538,25377,3181,45096
1989,75058,21639,53419,15492,90550
1990,57529,19964,37565,9856,67385
1991,120153,25138,95015,31284,151437
1992,154541,29242,125299,77394,231935
1993,176100,52698,123402,104630,280730
1994,127527,53380,74147,80509,208036
1995,142308,66777,75531,76420,218728
1996,184400,90148,94252,188385,372785
1997,125657,68197,57460,101258,226915
1998,90459,50486,39973,30989,121448
1999,65879,47202,18677,58765,124644
2000,53145,31535,21610,25359,78504
2001,103755,29341,74414,23500,127255
2002,71253,22607,48646,8076,79329
2003,194425,69571,124854,46552,240977
2004,189395,88451,100944,122592,311987
2005,167570,88089,79482,92362,259932
2006,193768,102733,91035,74817,268585
2007,110132,61472,48660,86654,196786
2008,74267,37097,37170,45942,120209
2009,111780,51082,60699,73495,185275
2010,116354,55471,60883,40647,157001
2011,139541,61947,77594,73857,213399
2012,95840,34922,60918,28700,124540
2013,84380,36371,48009,29136,113515
2014,122759,44056,78703,23881,146640
2015,142334,61911,80423,31958,174292
2016,164451,88649,75802,83441,247892
2017,75159,43657,31502,23609,98768
2018,53859,24256,29603,8950,62809
2019,76386,16425,59961,12995,89380
2020,31653,13369,18284,5931,37584
2021,79847,5105,74742,5441,85288
2022,110450,12428,98022,14064,124515
2023,73107,17688,55419,9829,82936
