region,species_name,species_qualified,cuid,cu_name_pse,year,spawners,us_catch,cdn_catch,combined_catch,run_size_adjustment,in_season_run_size,run_size,exploitation_rate
Skeena,Sockeye,SEL,171,Alastair,1950,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1951,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1952,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1953,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1954,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1955,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1956,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1957,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1958,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1959,NA,NA,NA,NA,NA,NA,NA,NA
Skeena,Sockeye,SEL,171,Alastair,1960,7770,854,2834,NA,NA,NA,11458,0.32
Skeena,Sockeye,SEL,171,Alastair,1961,29417,463,12392,NA,NA,NA,42272,0.3
Skeena,Sockeye,SEL,171,Alastair,1962,22079,1381,9609,NA,NA,NA,33069,0.33
Skeena,Sockeye,SEL,171,Alastair,1963,19981,1299,3820,NA,NA,NA,25100,0.2
Skeena,Sockeye,SEL,171,Alastair,1964,4218,279,1719,NA,NA,NA,6216,0.32
Skeena,Sockeye,SEL,171,Alastair,1965,17539,1736,4852,NA,NA,NA,24127,0.27
Skeena,Sockeye,SEL,171,Alastair,1966,18649,635,10734,NA,NA,NA,30018,0.38
Skeena,Sockeye,SEL,171,Alastair,1967,27752,2944,16810,NA,NA,NA,47506,0.42
Skeena,Sockeye,SEL,171,Alastair,1968,33302,1274,18114,NA,NA,NA,52690,0.37
Skeena,Sockeye,SEL,171,Alastair,1969,6660,276,2610,NA,NA,NA,9546,0.3
Skeena,Sockeye,SEL,171,Alastair,1970,4995,93,2095,NA,NA,NA,7183,0.3
Skeena,Sockeye,SEL,171,Alastair,1971,2553,43,1216,NA,NA,NA,3812,0.33
Skeena,Sockeye,SEL,171,Alastair,1972,8881,442,4102,NA,NA,NA,13425,0.34
Skeena,Sockeye,SEL,171,Alastair,1973,8881,339,5042,NA,NA,NA,14262,0.38
Skeena,Sockeye,SEL,171,Alastair,1974,3885,162,2524,NA,NA,NA,6571,0.41
Skeena,Sockeye,SEL,171,Alastair,1975,1332,17,437,NA,NA,NA,1786,0.25
Skeena,Sockeye,SEL,171,Alastair,1976,6660,295,3215,NA,NA,NA,10170,0.35
Skeena,Sockeye,SEL,171,Alastair,1977,15541,938,7387,NA,NA,NA,23866,0.35
Skeena,Sockeye,SEL,171,Alastair,1978,19981,1559,9819,NA,NA,NA,31359,0.36
Skeena,Sockeye,SEL,171,Alastair,1979,19981,1059,9173,NA,NA,NA,30213,0.34
Skeena,Sockeye,SEL,171,Alastair,1980,33302,5263,13283,NA,NA,NA,51848,0.36
Skeena,Sockeye,SEL,171,Alastair,1981,1998,98,959,NA,NA,NA,3055,0.35
Skeena,Sockeye,SEL,171,Alastair,1982,10546,941,6922,NA,NA,NA,18409,0.43
Skeena,Sockeye,SEL,171,Alastair,1983,14431,2016,3254,NA,NA,NA,19701,0.27
Skeena,Sockeye,SEL,171,Alastair,1984,8881,841,3383,NA,NA,NA,13105,0.32
Skeena,Sockeye,SEL,171,Alastair,1985,8881,534,3579,NA,NA,NA,12994,0.32
