Stock,Region,Catch.Year,CWTs,Ages,SEAK.Troll,SEAK.Net,SEAK.Sport,NBC.Troll,NBC.Sport,WCVI.Troll,WCVI.Sport,ISBM.NCBC.Troll,ISBM.NCBC.Net,ISBM.NCBC.Sport,ISBM.SBC.Troll,ISBM.SBC.Net,ISBM.SBC.Sport,ISBM.NF.Troll,ISBM.NF.Sport,ISBM.SF.Troll,ISBM.SF.Sport,ISBM.WAC.Net,ISBM.PS.Net,ISBM.PS.Sport,Term.SEAK.Troll,Term.SEAK.Net,Term.SEAK.Sport,Term.CAN.Net,Term.CAN.Sport,Term.SUS.Troll,Term.SUS.Net,Term.SUS.Sport,Stray,Escapement
Atnarko,Central Coast,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atnarko,Central Coast,1988,6,2,32.7,44.9,0.0,9.4,6.6,0.0,0.0,2.2,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atnarko,Central Coast,1989,38,"2,3",18.0,37.3,0.0,18.4,1.6,0.5,0.0,1.4,21.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atnarko,Central Coast,1990,146,"2,3,4",20.9,4.1,0.2,1.6,0.7,0.5,0.0,4.3,14.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,49.8
Atnarko,Central Coast,1991,788,"2,3,4,5",6.7,0.0,0.0,1.2,1.1,0.4,0.0,0.4,20.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.4,0.0,0.0,0.0,0.0,62.5
Atnarko,Central Coast,1992,986,"2,3,4,5",10.0,0.0,0.0,1.8,1.9,0.3,0.0,5.3,18.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1.8,0.0,0.0,0.0,0.0,55.2
Atnarko,Central Coast,1993,"1,347","2,3,4,5",10.0,1.4,0.6,4.6,2.1,0.4,0.0,1.2,12.8,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.1,0.0,0.0,0.0,0.0,61.0
Atnarko,Central Coast,1994,"1,704","2,3,4,5",7.5,0.2,0.3,1.5,1.8,0.0,0.0,2.6,18.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.0,0.0,0.0,0.0,64.0
Atnarko,Central Coast,1995,"2,328","2,3,4,5",4.4,0.1,1.2,1.1,2.8,0.0,0.0,0.3,15.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.4,0.0,0.0,0.0,0.0,65.6
Atnarko,Central Coast,1996,"2,081","2,3,4,5",2.6,0.0,0.9,0.2,0.6,0.0,0.0,0.0,11.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.7,0.0,0.0,0.0,0.0,72.5
Atnarko,Central Coast,1997,"1,160","2,3,4,5",4.4,0.0,2.6,0.2,3.3,0.0,0.0,0.5,9.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,4.4,0.0,0.0,0.0,0.0,66.2
Atnarko,Central Coast,1998,"1,075","2,3,4,5",7.3,0.0,0.4,0.0,5.0,0.0,0.0,0.0,13.0,1.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,3.3,0.0,0.0,0.0,0.0,59.5
Atnarko,Central Coast,1999,"1,432","2,3,4,5",5.8,0.0,2.1,0.0,3.0,0.0,0.0,0.0,7.2,1.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,3.7,0.0,0.0,0.0,0.0,72.2
Atnarko,Central Coast,2000,"1,050","2,3,4,5",6.4,0.1,0.0,0.0,3.7,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,4.1,0.0,0.0,0.0,0.0,71.1
Atnarko,Central Coast,2001,689,"2,3,4,5",6.7,0.0,2.0,0.0,2.2,0.4,0.0,0.0,12.9,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,4.7,0.0,0.0,0.0,0.0,61.6
Atnarko,Central Coast,2002,757,"2,3,4,5",5.1,0.1,0.4,9.0,4.1,0.8,0.0,0.0,15.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,2.1,0.0,0.0,0.0,0.0,52.2
Atnarko,Central Coast,2003,611,"2,3,4,5",5.1,0.1,0.0,3.0,6.5,0.0,0.0,0.0,24.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,1.9,0.0,0.0,0.0,0.0,42.2
