"Stock","Region","Catch.Year","CWTs","Ages","SEAK.Troll","SEAK.Net","SEAK.Sport","NBC.Troll","NBC.Sport","WCVI.Troll","WCVI.Sport","ISBM.NCBC.Troll","ISBM.NCBC.Net","ISBM.NCBC.Sport","ISBM.SBC.Troll","ISBM.SBC.Net","ISBM.SBC.Sport","ISBM.NF.Troll","ISBM.NF.Sport","ISBM.SF.Troll","ISBM.SF.Sport","ISBM.WAC.Net","ISBM.PS.Net","ISBM.PS.Sport","Term.SEAK.Troll","Term.SEAK.Net","Term.SEAK.Sport","Term.CAN.Net","Term.CAN.Sport","Term.SUS.Troll","Term.SUS.Net","Term.SUS.Sport","Stray","Escapement"
"Lower Shuswap","Fraser",1981,140,"2,3",13.57,0,0,4.29,0,0.71,0,2.14,6.43,0,1.43,4.29,0,0,0,0,0,0,2.86,0,0,0,0,1.43,0,0,0,0,0,62.86
"Lower Shuswap","Fraser",1982,385,"3,4",28.57,1.04,0.52,12.73,0,6.23,0,1.3,4.42,0,0.78,11.95,4.68,0,0,0,0,0,10.39,0,0,0,0,0.78,0,0,1.56,0,0,15.06
"Lower Shuswap","Fraser",1983,170,"4,5",30.59,1.76,0,22.35,0,0,0,7.06,4.12,0,0,14.12,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,17.65
"Lower Shuswap","Fraser",1987,632,"2,3",7.75,2.22,0.16,11.71,0,2.22,0,2.69,0.79,0.63,0.79,8.23,4.59,0,0,0,0,0,2.85,0,0,0,0,0.79,7.28,0,0,0,0.32,46.99
"Lower Shuswap","Fraser",1988,2072,"2,3,4",7.67,0.19,0.05,9.65,0.29,5.07,0.05,1.64,1.35,0,0,6.32,2.8,0,0.1,0,0,0.1,1.16,0.19,0,0,0,0.87,1.45,0,0.29,0,0.24,60.52
"Lower Shuswap","Fraser",1989,1682,"2,3,4,5",5.11,4.04,0,7.19,0,1.13,0,0.54,0.24,0,0,12.31,0.42,0,0,0,0,0,0.89,0.12,0,0,0,1.13,0.42,0,0.48,0,0,65.99
"Lower Shuswap","Fraser",1990,1252,"2,3,4,5",27.72,0,0.8,19.41,0.32,3.75,3.04,1.76,1.12,0.88,0,2.08,1.76,0,0,0,0,0,0,0.48,0,0,0,7.59,1.52,0,0,0,1.12,26.68
"Lower Shuswap","Fraser",1991,631,"2,3,4,5",34.07,0,0.63,22.19,0.48,3.01,0,1.27,1.27,0,0,5.39,1.27,0,0,0,0,0,3.17,0,0,0,0,5.23,0.63,0,0,0,0.16,21.24
"Lower Shuswap","Fraser",1992,296,"2,3,4,5",13.51,0,0,17.91,0,4.39,0,6.08,1.35,0,0,4.73,4.73,0,0,0,0,0,0,2.7,0,0,0,5.07,4.39,0,0,0,0,35.14
"Lower Shuswap","Fraser",1993,480,"2,3,4,5",7.71,1.67,0,12.92,0,9.79,0,1.04,0.83,0,0,7.29,1.46,0.42,0,0,0,0,0,0,4.38,0,0,8.54,3.54,0,0,0,0,40.42
"Lower Shuswap","Fraser",1994,1045,"2,3,4,5",9.38,0,1.05,17.42,1.72,8.13,0,10.05,0.86,0,0.86,4.31,1.82,0,0,0,0,0,2.97,0,0,0,0,9.76,0,0,0,0,0.48,31.2
"Lower Shuswap","Fraser",1995,530,"2,3,4,5",15.85,0,3.77,11.32,4.15,3.4,0,0.75,0.19,1.51,0,3.4,2.64,0,0,0,0,0,2.45,0,0,0,0,7.92,0.38,0,0.75,0,0.57,40.94
"Lower Shuswap","Fraser",1996,743,"2,3,4,5",16.29,0,0,0.54,0.67,0.4,0.94,0,0.13,1.48,0,0.4,4.04,0,0,0,0,0,0,0,0,0,0,8.21,1.35,0,0,0,0,65.55
"Lower Shuswap","Fraser",1997,608,"2,3,4,5",13.32,0.66,0,8.72,2.14,0.49,0,0.16,0.16,0.66,0,3.62,5.59,0,0,0,0,0,1.97,0,0,0,0,15.63,0,0,0.33,0,0,46.55
"Lower Shuswap","Fraser",1998,754,"2,3,4,5",21.49,0.4,9.15,7.03,14.06,0,0,0,0,1.06,0,0.4,7.82,0,0,0,0,0,0.8,0,0,0,0,5.44,0.66,0,0,0,1.19,30.5
"Lower Shuswap","Fraser",1999,832,"2,3,4,5",15.5,0,6.01,0.72,4.57,0,0,0,0,0.24,0,0,4.57,0,0,0,0,0,0,0,0,0,0,5.41,0.36,0,0,0,0,62.62
"Lower Shuswap","Fraser",2000,718,"2,3,4,5",11,0,9.89,0,4.74,0,0,0,0,0,0,0,3.62,0,0.42,0,0,0,0.14,0,0,0,0,6.41,1.39,0,0,0,0.97,61.42
"Lower Shuswap","Fraser",2001,1158,"2,3,4,5",8.03,1.21,0.43,0,0,0,0,0.26,0,1.04,0.09,0.69,9.41,0.09,0,0,0,0,0.17,0,0,0,0,1.47,1.55,0,0.26,0,0,75.3
"Lower Shuswap","Fraser",2002,1561,"2,3,4,5",18.26,0,2.5,12.75,4.16,1.28,0,0.06,0,1.6,0,0,3.59,0,0,0,0,0,0,0,0,0,0,8.58,0.45,0,0,0,0,46.76
"Lower Shuswap","Fraser",2003,1877,"2,3,4,5",9.8,0.85,1.6,8.1,2.45,0,0,1.28,0,0.43,0,0,7.09,0.21,0,0.11,0,0,0.48,0,0,0,0,4.53,2.34,0,0,0,0,60.74
"Lower Shuswap","Fraser",2004,1156,"2,3,4,5",18.34,0,1.64,9.34,3.98,0.78,0,0,0,4.76,0,0,5.45,0.26,0,0,0,0,1.04,0,0,0,0,11.94,2.77,0,0,0,0,39.71
"Lower Shuswap","Fraser",2005,824,"2,3,4,5",15.05,0,1.82,12.38,5.34,0.36,3.16,0,0,1.33,0,0,13.83,0.24,0,0,0,0,0.36,0,0,0,0,7.04,3.64,0,0,0,0,35.44
"Lower Shuswap","Fraser",2006,1323,"2,3,4,5",11.94,0,2.72,13.23,8.16,0.3,0.91,0,0,1.66,0,0,9.83,0.23,0,0,0,0,0.76,0,0,0,0,7.18,3.1,0,0,0,0.83,39.15
"Lower Shuswap","Fraser",2007,507,"2,3,4,5",7.69,0.2,9.47,3.55,10.06,0,0.99,0,0,0,0,0.39,3.35,0,0,0,0,0,0,0,0,0,0,5.33,5.13,0,0,0,0,53.85
"Lower Shuswap","Fraser",2008,1771,"2,3,4,5",8.81,0,0.56,8.13,7.68,0,1.64,0,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0,2.88,2.99,0,0,0,0,60.08
"Lower Shuswap","Fraser",2009,1691,"2,3,4,5",9.17,0,1.3,6.45,3.37,0.77,2.31,0,0,0.59,0,0,8.87,0.12,0,0,0,0,0,0.3,0,0,0,9.99,6.15,0,0,0,0.24,50.38
"Lower Shuswap","Fraser",2010,2026,"2,3,4,5",9.82,0,1.53,10.46,3.11,0,0.49,0,0,0.3,0,0,9.43,0.2,0.1,0.1,0,0,1.23,0,0,0,0,9.43,1.92,0,0.3,0,1.18,50.39
"Lower Shuswap","Fraser",2011,1856,"2,3,4,5",8.14,0.05,1.78,7.6,4.47,1.29,0.7,0,0,0,0,1.24,8.35,0.48,0,0,0,0,0.27,0.54,0,0,0,9.27,2.86,0,0,0,0.05,52.91
"Lower Shuswap","Fraser",2012,1945,"2,3,4,5",6.84,0,2.57,7.51,4.37,1.08,1.23,0,0,0.77,0,0.36,10.08,0.21,0.36,0.21,0,0,0.05,2.31,0,0,0,4.47,4.88,0,0,0,0,52.7
"Lower Shuswap","Fraser",2013,8225,"2,3,4,5",7.36,0.15,0.46,7.49,3.51,0.22,0.97,0.01,0,0.29,0,1.62,10.31,0.58,0.05,0,0,0,0.28,0.68,0,0,0,2.48,2.04,0,0.04,0,0.91,60.55
"Lower Shuswap","Fraser",2014,4669,"2,3,4,5",10.92,0.19,0.96,7.13,2.66,3.3,1.63,0.02,0,0.15,0,3.02,5.35,1.95,0.45,0.11,0,0,0.49,0.88,0,0,0,8.03,1.78,0,0,0,0.9,50.07
"Lower Shuswap","Fraser",2015,5012,"2,3,4,5",6.74,0.16,0.3,3.69,1.52,0.56,1.2,0,0,0.7,0,0.5,7.98,2.35,0.48,0,0,0,0.82,1.06,0,0,0,2.93,3.05,0,0.06,0,1.38,64.53
"Lower Shuswap","Fraser",2016,2152,"2,3,4,5",9.94,0.56,1.63,8.97,2.74,1.81,0.98,0,0,0.51,0,0.37,5.76,0.28,0,0,0,0,0,0.46,0,0,0,2.56,1.95,0,0.28,0,0,61.2
"Lower Shuswap","Fraser",2017,3053,"2,3,4,5",12.35,0,1.74,7.53,3.64,1.51,2.1,0,0,0,0,0.23,10.97,0.23,0.29,0,0,0,0,0.79,0,0,0,2.52,1.67,0,0.07,0,0.49,53.88
