CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-19-49,SX,Prudhomme,1954,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1955,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1956,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1957,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1958,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1959,,,,,,,,,,,,,,,,,,,,04
SX_L-19-49,SX,Prudhomme,1960,3500,1.35,4708,1.00,4708,2.00,9416,2009,0.167,11425,2614,0.217,12030,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1961,7500,1.35,10089,1.00,10089,2.00,20178,5026,0.198,25203,5213,0.205,25391,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1962,3500,1.35,4708,1.00,4708,2.00,9416,2382,0.196,11798,2724,0.224,12140,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1963,7500,1.35,10089,1.00,10089,2.00,20178,2405,0.103,22583,3222,0.138,23400,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1964,3500,1.35,4708,1.00,4708,2.00,9416,2245,0.187,11662,2610,0.217,12026,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1965,3500,1.35,4708,1.00,4708,2.00,9416,1568,0.136,10984,2128,0.184,11545,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1966,1500,1.35,2018,1.00,2018,2.00,4036,1309,0.241,5344,1386,0.256,5422,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1967,4500,1.35,6053,1.00,6053,2.00,12107,4021,0.239,16128,4725,0.281,16832,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1968,3500,1.35,4708,1.00,4708,2.00,9416,2908,0.232,12324,3113,0.248,12529,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1969,3500,1.35,4708,1.00,4708,2.00,9416,2184,0.185,11600,2415,0.204,11831,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1970,3500,1.35,4708,1.00,4708,2.00,9416,2334,0.197,11750,2438,0.206,11854,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1971,2000,1.35,2690,1.00,2690,2.00,5381,1492,0.215,6872,1544,0.223,6925,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1972,1000,1.35,1345,1.00,1345,2.00,2690,719,0.206,3410,797,0.229,3487,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1973,1000,1.35,1345,1.00,1345,2.00,2690,862,0.239,3552,920,0.255,3610,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1974,500,1.35,673,1.00,673,2.00,1345,482,0.259,1827,513,0.276,1858,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1975,1000,1.35,1345,1.00,1345,2.00,2690,537,0.165,3227,558,0.172,3248,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1976,700,1.35,942,1.00,942,2.00,1883,524,0.213,2407,572,0.233,2455,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
SX_L-19-49,SX,Prudhomme,1977,1500,1.35,2018,1.00,2018,2.00,4036,1103,0.209,5139,1243,0.236,5279,2.00,3.72,5.00,Lakelse,[LOOKUP CU],Sockeye Model,04
