SpeciesId,Species Name,StatArea,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3
SX,Sockeye,1,1960,11000,1.093457944,12028.03738,1.129954909,13591.13988,2,27182.27977,6795.569942,0.2,33977.84971,6795.569942,0.2,33977.84971,2.333333333,4.572649573,4.424955333
SX,Sockeye,1,1961,11400,1,11400,1.129954909,12881.48596,2,25762.97192,6440.74298,0.2,32203.7149,6440.74298,0.2,32203.7149,2.333333333,5,4.424955333
SX,Sockeye,1,1962,31500,1,31500,1.129954909,35593.57963,2,71187.15926,17796.78981,0.2,88983.94907,17796.78981,0.2,88983.94907,2.333333333,5,4.424955333
SX,Sockeye,1,1963,11750,1,11750,1.129954909,13276.97018,2,26553.94036,6638.485089,0.2,33192.42545,6638.485089,0.2,33192.42545,2.333333333,5,4.424955333
SX,Sockeye,1,1964,24000,1,24000,1.129954909,27118.91781,2,54237.83562,13559.45891,0.2,67797.29453,13559.45891,0.2,67797.29453,2.333333333,5,4.424955333
SX,Sockeye,1,1965,9400,1,9400,1.129954909,10621.57614,2,21243.15229,5310.788072,0.2,26553.94036,5310.788072,0.2,26553.94036,2.333333333,5,4.424955333
SX,Sockeye,1,1966,4650,1,4650,1.129954909,5254.290326,2,10508.58065,2627.145163,0.2,13135.72582,2627.145163,0.2,13135.72582,2.333333333,5,4.424955333
SX,Sockeye,1,1967,8100,1,8100,1.129954909,9152.634762,2,18305.26952,4576.317381,0.2,22881.5869,4576.317381,0.2,22881.5869,2.333333333,5,4.424955333
SX,Sockeye,1,1968,18900,1,18900,1.129954909,21356.14778,2,42712.29555,10678.07389,0.2,53390.36944,10678.07389,0.2,53390.36944,2.333333333,5,4.424955333
SX,Sockeye,1,1969,37500,1,37500,1.129954909,42373.30908,2,84746.61816,21186.65454,0.2,105933.2727,21186.65454,0.2,105933.2727,2.333333333,5,4.424955333
SX,Sockeye,1,1970,25750,1.059038662,27270.24556,1.129954909,30814.14783,2,61628.29567,15407.07392,0.2,77035.36959,15407.07392,0.2,77035.36959,2.333333333,4.72126295,4.424955333
SX,Sockeye,1,1971,16000,1.059038662,16944.6186,1.129954909,19146.65497,2,38293.30993,9573.327483,0.2,47866.63741,9573.327483,0.2,47866.63741,2.333333333,4.72126295,4.424955333
SX,Sockeye,1,1972,16500,1,16500,1.129954909,18644.256,2,37288.51199,9322.127998,0.2,46610.63999,9322.127998,0.2,46610.63999,2.333333333,5,4.424955333
SX,Sockeye,1,1973,34000,1,34000,1.129954909,38418.4669,2,76836.9338,19209.23345,0.2,96046.16725,19209.23345,0.2,96046.16725,2.333333333,5,4.424955333
SX,Sockeye,1,1974,36500,1,36500,1.129954909,41243.35417,2,82486.70835,20621.67709,0.2,103108.3854,20621.67709,0.2,103108.3854,2.333333333,5,4.424955333
SX,Sockeye,1,1975,13500,1,13500,1.129954909,15254.39127,2,30508.78254,7627.195635,0.2,38135.97817,7627.195635,0.2,38135.97817,2.333333333,5,4.424955333
SX,Sockeye,1,1976,38800,1,38800,1.129954909,43842.25046,2,87684.50093,21921.12523,0.2,109605.6262,21921.12523,0.2,109605.6262,2.333333333,5,4.424955333
SX,Sockeye,1,1977,34000,1,34000,1.129954909,38418.4669,2,76836.9338,19209.23345,0.2,96046.16725,19209.23345,0.2,96046.16725,2.333333333,5,4.424955333
SX,Sockeye,1,1978,18000,1,18000,1.129954909,20339.18836,2,40678.37672,10169.59418,0.2,50847.9709,10169.59418,0.2,50847.9709,2.333333333,5,4.424955333
SX,Sockeye,1,1979,17500,1,17500,1.129954909,19774.2109,2,39548.42181,9887.105452,0.2,49435.52726,9887.105452,0.2,49435.52726,2.333333333,5,4.424955333
SX,Sockeye,1,1980,31700,1,31700,1.129954909,35819.57061,2,71639.14122,17909.78531,0.2,89548.92653,17909.78531,0.2,89548.92653,2.333333333,5,4.424955333
SX,Sockeye,1,1981,21500,1,21500,1.129954909,24294.03054,2,48588.06108,12147.01527,0.2,60735.07635,12147.01527,0.2,60735.07635,2.333333333,5,4.424955333
SX,Sockeye,1,1982,27000,1,27000,1.129954909,30508.78254,2,61017.56508,15254.39127,0.2,76271.95635,15254.39127,0.2,76271.95635,2.333333333,5,4.424955333
